1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.999983299999485320e-01,2.867532239409916227e-21,6.091931039199438943e-21,-7.833888741592881047e-21,9.999983299999485320e-01,1.019572739997326021e-20,-5.553501150418092719e-21,-6.820760290841109604e-21,1.000004999999959399e+00
9.999966599721177296e-01,1.076302023038308833e-20,2.609986335822754242e-21,-1.404981667348244488e-20,9.999966599721177296e-01,1.178477337221682599e-20,-4.152636397161501837e-21,-1.016570764773437736e-20,1.000010000000090216e+00
9.999949899332708503e-01,5.800640797474498696e-21,1.485950594966788517e-20,-1.739736190943872386e-20,9.999949899332708503e-01,2.384274140114642847e-20,-8.883894169307930092e-21,-1.276579178772085175e-20,1.000015000000052945e+00
9.999933199109403148e-01,-1.158705684292895602e-17,-6.145294586322937214e-19,1.561611158429941220e-17,9.999933199109403148e-01,-2.342541061178659196e-17,2.873748525271335303e-18,9.247161888033513961e-18,1.000019999999956610e+00
9.999916498608385496e-01,-2.089327058310057557e-16,2.765027181153123543e-16,-2.135849662209604078e-16,9.999916498608385496e-01,5.605673794917848755e-16,1.172013017695049149e-16,1.861558145964136982e-16,1.000024999999929998e+00
9.999899797994076245e-01,-1.846873457434401227e-14,2.419702406697507632e-14,-1.847049617741598964e-14,9.999899797994916684e-01,4.895598448951966177e-14,1.030313146583884903e-14,1.644648696356494773e-14,1.000030000000062369e+00
9.999883097213456695e-01,-7.187448557817285329e-13,9.416330443441776447e-13,-7.188245099847230272e-13,9.999883097290911405e-01,1.905333560212956635e-12,4.010081937780497654e-13,6.400536090650690434e-13,1.000034999999999119e+00
9.999866378722496174e-01,-2.215099790174432360e-10,2.903491803755444468e-10,-2.213796522535085966e-10,9.999866402577917146e-01,5.869605317786455165e-10,1.234786581956307842e-10,1.972936654160502515e-10,1.000040000000001150e+00
9.999849494622194968e-01,-2.518193636376637948e-09,3.314385865074927936e-09,-2.504664760707313891e-09,9.999849765138635327e-01,6.656590087066562625e-09,1.396709246061474636e-09,2.248050012431889649e-09,1.000045000000004292e+00
9.999831442092976808e-01,-1.974517290960313312e-08,2.666504046668433027e-08,-1.909798452254376208e-08,9.999833532380154599e-01,5.146337748060143198e-08,1.061418431507784404e-08,1.787861994096595151e-08,1.000050000000001882e+00
9.999808851566912571e-01,-9.790184980424304666e-08,1.444206255784364004e-07,-8.794789096206732628e-08,9.999818866390003391e-01,2.470484327465677012e-07,4.770509488787118451e-08,9.304740637717735550e-08,1.000054999999999028e+00
9.999778770685301410e-01,-2.811567983038335664e-07,4.720432245893425281e-07,-2.330724730288448131e-07,9.999806762919943859e-01,6.934280711052843689e-07,1.187884359828720522e-07,2.866024951677722229e-07,1.000059999999998617e+00
9.999742931796101741e-01,-5.436817523385647447e-07,1.022243450332706702e-06,-4.255906244355737511e-07,9.999796587622458155e-01,1.337129531121967188e-06,2.007325054205576611e-07,5.885822970876991589e-07,1.000065000000000648e+00
9.999704330188303736e-01,-8.387072965551912483e-07,1.718263659642668375e-06,-6.314941704466231465e-07,9.999787286926967722e-01,2.081363091165341400e-06,2.772385416915248593e-07,9.493087281819798009e-07,1.000070000000002457e+00
9.999664697834903526e-01,-1.140116546463546389e-06,2.490446360609779807e-06,-8.342096693802816030e-07,9.999778256436834267e-01,2.869183104191425321e-06,3.451539829876352110e-07,1.332781713502969879e-06,1.000074999999994496e+00
9.999624761062909650e-01,-1.438441370955074119e-06,3.298770062631056597e-06,-1.028120008893539821e-06,9.999769242584998219e-01,3.676365554609428191e-06,4.057712566548292236e-07,1.721281224973600433e-06,1.000079999999998970e+00
9.999584793580802433e-01,-1.731457651931489620e-06,4.122087248131651159e-06,-1.212031959537446846e-06,9.999760148792796732e-01,4.493494110462148235e-06,4.609478695734381361e-07,2.106948550829807935e-06,1.000085000000000335e+00
9.999544895463776673e-01,-2.019515940747971713e-06,4.949082344259077821e-06,-1.386261707813735101e-06,9.999750939008205108e-01,5.316829966881966419e-06,5.120695568036393794e-07,2.486359341888738549e-06,1.000090000000003476e+00
9.999505103560984987e-01,-2.303767136000111043e-06,5.773356155662078167e-06,-1.551571142004130586e-06,9.999741599685423310e-01,6.144678697753480620e-06,5.599917867594243235e-07,2.858014079377311177e-06,1.000094999999997736e+00
9.999465431662919457e-01,-2.585467508800065754e-06,6.590940394658023967e-06,-1.708833444979890947e-06,9.999732126242197872e-01,6.975966028816763174e-06,6.052803333051518459e-07,3.221341900771197163e-06,1.000099999999995104e+00
9.999425883919097480e-01,-2.865784889703366289e-06,7.399376789216391739e-06,-1.858892397923686204e-06,9.999722518314632103e-01,7.809845401295425620e-06,6.482751091379676098e-07,3.576276157051817851e-06,1.000104999999999356e+00
9.999386460417079014e-01,-3.145728635687632375e-06,8.197105861225452032e-06,-2.002523441689384131e-06,9.999712777723153145e-01,8.645535132997165753e-06,6.891993214802579163e-07,3.923038646381905312e-06,1.000110000000001609e+00
9.999347159464301305e-01,-3.426121163292574828e-06,8.983081905271102552e-06,-2.140439765722495403e-06,9.999702907441543331e-01,9.482295690990367938e-06,7.282305342925670675e-07,4.261981856062717133e-06,1.000115000000001197e+00
9.999307978025937516e-01,-3.707643576185122836e-06,9.756687847228883307e-06,-2.273280848953626846e-06,9.999692911382739302e-01,1.031942634829342164e-05,7.655178869612887943e-07,4.593578292057106089e-06,1.000119999999995457e+00
